$ tsx tools/smoke-endpoints.mts --base http://127.0.0.1:3100 --run-tag whrules-1
smoke: 8 service(s), tenant 01a0999a-28c3-7341-93f5-e0e84b0189a1, database dos_test_b2_warehouse_rules
       destructive procedures are skipped (pass --destructive to include them)

── auth-service ────────────────────────────────────────────────────────────────────────────────────────────
METHOD  PATH                                           STATUS MS     CLASS    MESSAGE
POST    /procurement/grns/{id}/count                   200    15     OK       
POST    /procurement/grns/{id}/post                    200    9      OK       
GET     /procurement/grns/{id}                         200    6      OK       
GET     /procurement/discrepancies                     200    4      OK       
POST    /procurement/discrepancies/{id}/resolve        200    7      OK       
POST    /procurement/purchase-orders                   200    8      OK       
GET     /procurement/purchase-orders                   200    4      OK       
POST    /orders                                        200    57     OK       
GET     /orders                                        200    8      OK       
POST    /orders/{id}/lines                             200    33     OK       
POST    /orders/repeat-last                            200    32     OK       
POST    /orders/{id}/submit                            200    24     OK       
POST    /orders/{id}/confirm                           409    6      EXPECTED SO-0880 is waiting on 1 decision(s) (credit limit); approve or reject each in th
POST    /orders/{id}/cancel                            -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
GET     /orders/last-placed                            200    11     OK       
GET     /orders/{id}                                   200    10     OK       
GET     /approvals                                     200    8      OK       
POST    /approvals/{id}/decide                         200    33     OK       
POST    /receipts                                      200    35     OK       
GET     /receipts                                      200    40     OK       
GET     /receipts/{id}                                 200    12     OK       
GET     /receipts/{id}/document                        200    7      OK       
POST    /receipts/{id}/bounce                          -      0      SKIPPED  destructive, needs --destructive (would return a seeded cheque and book a real b
POST    /receivables/payments/initiate                 403    2      EXPECTED the owner role may not call POST /receivables/payments/initiate
POST    /allocations                                   409    8      EXPECTED bill OPEN/0004 belongs to another shop
POST    /allocations/{id}/remove                       -      0      SKIPPED  destructive, needs --destructive (would delete a seeded allocation and reopen th
GET     /receivables/outstanding/{retailerId}          200    9      OK       
GET     /receivables/outstanding                       200    7      OK       
GET     /receivables/credit-check                      200    6      OK       
GET     /receivables/ledger/{retailerId}               200    27     OK       
POST    /receivables/statements                        200    6      OK       
POST    /receivables/write-offs                        -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
GET     /receivables/cash-discounts                    200    21     OK       
GET     /receivables/accounts                          200    52     OK       
GET     /receivables/journal                           200    6      OK       
POST    /receivables/ageing/rebuild                    200    8      OK       
GET     /receivables/ageing/history                    200    5      OK       
GET     /billing/queue                                 200    6      OK       
POST    /warehouse/packs/{packId}/invoice              404    7      BROKEN   pack 01a06dfc-c72b-7578-8d88-28f8e0d9054b not found
POST    /invoices/van-sale                             200    30     OK       
POST    /invoices/brand-dms                            200    14     OK       
POST    /invoices/{id}/cancel                          -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
GET     /invoices/{id}                                 200    5      OK       
GET     /invoices                                      200    9      OK       
GET     /invoices/{id}/upi-qr                          200    7      OK       
GET     /invoices/{id}/pdf                             200    4      OK       
POST    /invoices/{id}/eway-bill                       200    10     OK       
POST    /invoices/{id}/irn                             200    6      OK       
POST    /credit-notes                                  400    9      EXPECTED line 01a06d4a-aaee-73cb-8b2a-08ff3ce05549 does not belong to bill INV/9007
GET     /credit-notes                                  200    5      OK       
POST    /credit-notes/{id}/issue                       200    9      OK       
POST    /credit-notes/{id}/cancel                      -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
GET     /credit-notes/{id}                             200    7      OK       
GET     /billing/gst-summary                           200    10     OK       
GET     /billing/sales-register                        200    8      OK       
GET     /warehouse/queue                               200    16     OK       
POST    /warehouse/picklists                           200    55     OK       
GET     /warehouse/picklists                           200    9      OK       
GET     /warehouse/picklists/{id}                      200    17     OK       
POST    /warehouse/picklists/{id}/start                200    28     OK       
POST    /warehouse/picklists/{id}/pick                 200    25     OK       
POST    /warehouse/picklists/{id}/cancel               -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
POST    /warehouse/orders/{orderId}/pack               200    96     OK       
GET     /warehouse/packs                               200    18     OK       
GET     /warehouse/packs/{id}                          200    16     OK       
POST    /warehouse/load-sheets                         200    42     OK       
GET     /warehouse/load-sheets                         200    8      OK       
GET     /warehouse/load-sheets/{id}                    200    20     OK       
POST    /warehouse/load-sheets/{id}/approve            409    7      EXPECTED load sheet 374f2089-b8fd-720e-907c-8380307948ab was already approved by a1cbd424
POST    /warehouse/load-sheets/{id}/confirm            200    103    OK       
POST    /warehouse/load-sheets/{id}/cancel             -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
GET     /warehouse/challans                            200    8      OK       
GET     /warehouse/challans/{id}                       200    14     OK       
GET     /warehouse/challans/{id}/pdf                   200    6      OK       
POST    /warehouse/challans/{id}/ewb                   409    6      EXPECTED challan DC-0083 already carries e-way bill 291012345678
GET     /warehouse/reservations                        200    15     OK       
POST    /warehouse/reservations/release                409    11     EXPECTED order SO-0870 is packed; holds are only freed while it is confirmed
POST    /sync/upload                                   200    13     OK       
GET     /sync/errors                                   200    7      OK       
GET     /sync/manifest                                 200    5      OK       
GET     /sync/pull                                     200    45     OK       
POST    /files/upload-url                              200    9      OK       
GET     /files/read-url                                200    4      OK       
GET     /delivery/vehicles                             200    4      OK       
GET     /delivery/vehicle-positions                    200    21     OK       
POST    /delivery/consents                             200    7      OK       
GET     /delivery/consents                             200    4      OK       
GET     /delivery/trips                                200    9      OK       
GET     /delivery/trip-planning                        200    20     OK       
POST    /delivery/trips/{id}/cancel                    -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
GET     /delivery/stops                                200    13     OK       
GET     /delivery/collections                          200    12     OK       
GET     /delivery/expenses                             200    9      OK       
GET     /docint/documents                              200    17     OK       
GET     /docint/documents/{id}                         200    11     OK       
GET     /docint/documents/{id}/status                  200    8      OK       
GET     /docint/documents/{id}/page-url                200    5      OK       
GET     /docint/documents/{id}/extractions             200    7      OK       
GET     /docint/extractions/{id}                       200    6      OK       
GET     /docint/extractions/{extractionId}/candidates  200    7      OK       
GET     /docint/queue                                  200    23     OK       
GET     /docint/stats                                  200    14     OK       
POST    /integrations/imports                          200    82     OK       
GET     /integrations/imports                          200    6      OK       
GET     /integrations/imports/{id}                     200    9      OK       
GET     /integrations/imports/{id}/preview             200    5      OK       
POST    /integrations/imports/{id}/mapping             200    8      OK       
POST    /integrations/imports/{id}/dry-run             200    17     OK       
GET     /integrations/imports/{id}/rows                200    6      OK       
POST    /integrations/imports/{id}/rows/{rowId}/review 200    12     OK       
POST    /integrations/imports/{id}/commit              200    97     OK       
POST    /integrations/imports/{id}/confirm             200    27     OK       
POST    /integrations/imports/{id}/rollback            409    5      EXPECTED the import is confirmed; it cannot be rolled back now
POST    /integrations/imports/{id}/cancel              -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
GET     /integrations/import-profiles                  200    5      OK       
POST    /integrations/import-profiles                  200    8      OK       
POST    /integrations/exports                          200    113    OK       
GET     /integrations/exports                          200    5      OK       
GET     /integrations/exports/{id}                     200    2      OK       
GET     /integrations/exports/{id}/download-url        200    5      OK       
GET     /integrations/tally/mappings                   200    9      OK       
POST    /integrations/tally/mappings                   200    19     OK       
GET     /integrations/tally/sync-ledger                200    16     OK       
GET     /claims/policies                               200    7      OK       
POST    /claims/policies                               200    11     OK       
GET     /claims/periods                                200    963    OK       
GET     /claims/ageing                                 200    6      OK       
GET     /claims/register                               200    4      OK       
GET     /claims/reconcile                              200    4      OK       
POST    /claims                                        200    10     OK       
GET     /claims                                        200    19     OK       
GET     /claims/{id}                                   200    8      OK       
POST    /claims/{id}/build                             200    21     OK       
GET     /claims/{id}/lines                             200    4      OK       
POST    /claims/{id}/lines                             200    22     OK       
POST    /claims/{id}/lines/{lineId}/adjust             200    8      OK       
POST    /claims/{id}/lines/{lineId}/remove             200    24     OK       
POST    /claims/{id}/evidence                          200    8      OK       
POST    /claims/{id}/submit                            200    60     OK       
POST    /claims/{id}/acknowledge                       200    8      OK       
POST    /claims/{id}/settlements                       200    32     OK       
POST    /claims/{id}/reject                            409    9      EXPECTED claim CLM-0025 is partially_settled; cannot reject
POST    /claims/{id}/write-off                         -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
POST    /claims/{id}/cancel                            -      0      SKIPPED  destructive, needs --destructive (matches /cancel|delete|revoke|writeOff|disable
POST    /claims/{id}/statements                        200    19     OK       
GET     /claims/{id}/statements                        200    5      OK       
GET     /notifications/messages                        200    19     OK       
GET     /notifications/messages/{id}                   200    5      OK       
POST    /notifications/messages/send                   200    18     OK       
POST    /notifications/messages/{id}/resend            409    5      EXPECTED already_sent: message fe8d2040-1617-73ba-9654-27dd40eb573a is sent; a correction
POST    /notifications/messages/{id}/read              200    7      OK       
GET     /notifications/templates                       200    5      OK       
POST    /notifications/templates                       200    6      OK       
POST    /notifications/broadcasts                      200    57     OK       
GET     /notifications/broadcasts                      200    5      OK       
GET     /notifications/broadcasts/{id}                 200    8      OK       
POST    /notifications/push-tokens                     200    17     OK       
POST    /notifications/push-tokens/{id}/unregister     200    8      OK       
GET     /notifications/inbound                         200    7      OK       
POST    /notifications/inbound/{id}/handled            200    5      OK       
GET     /reporting/dashboard/owner                     200    15     OK       
GET     /reporting/dashboard/rep                       200    7      OK       
GET     /reporting/series                              200    5      OK       
GET     /reporting/series/sales                        200    4      OK       
GET     /reporting/series/collections                  200    4      OK       
GET     /reporting/series/outstanding                  200    4      OK       
GET     /reporting/series/ageing                       200    7      OK       
GET     /reporting/series/growth                       200    6      OK       
GET     /reporting/series/brand-mix                    200    4      OK       
GET     /reporting/series/category-mix                 200    4      OK       
GET     /reporting/series/top-shops                    200    19     OK       
GET     /reporting/series/top-beats                    200    6      OK       
GET     /reporting/series/productivity                 200    4      OK       
GET     /reporting/series/fill-rate                    200    5      OK       
GET     /reporting/series/delivery-performance         200    4      OK       
